member_a,member_b,votes_same,bills_same,mutual_sponsorships
A000360,G000555,Lamar Alexander,Kirsten Gillibrand,26,38,2
A000360,G000561,Lamar Alexander,Carte Goodwin,1,2,0
A000360,G000359,Lamar Alexander,Lindsey Graham,24,40,1
A000360,G000386,Lamar Alexander,Charles Grassley,26,40,0
A000360,G000445,Lamar Alexander,Judd Gregg,30,39,1
A000360,H001049,Lamar Alexander,Kay Hagan,27,39,0
A000360,H000206,Lamar Alexander,Tom Harkin,27,40,1
A000360,H000338,Lamar Alexander,Orrin Hatch,30,39,1
A000360,H001016,Lamar Alexander,Kay Hutchison,29,38,0
A000360,I000024,Lamar Alexander,James Inhofe,19,38,0
A000360,I000025,Lamar Alexander,Daniel Inouye,27,40,1
A000360,I000055,Lamar Alexander,Johnny Isakson,24,37,2
A000360,J000291,Lamar Alexander,Mike Johanns,32,40,0
A000360,J000177,Lamar Alexander,Tim Johnson,26,38,1
A000360,K000373,Lamar Alexander,Edward Kaufman,25,38,2
A000360,K000105,Lamar Alexander,Edward Kennedy,1,2,2
A000360,K000148,Lamar Alexander,John Kerry,27,40,1
A000360,K000374,Lamar Alexander,Paul Kirk,5,7,0
A000360,K000360,Lamar Alexander,Mark Kirk,1,1,0
A000360,K000367,Lamar Alexander,Amy Klobuchar,26,39,2
A000360,K000305,Lamar Alexander,Herb Kohl,27,40,0
A000360,K000352,Lamar Alexander,Jon Kyl,23,40,0
A000360,L000550,Lamar Alexander,Mary Landrieu,24,37,1
A000360,L000123,Lamar Alexander,Frank Lautenberg,26,38,1
A000360,L000174,Lamar Alexander,Patrick Leahy,25,39,1
A000360,L000572,Lamar Alexander,George LeMieux,14,19,0
A000360,L000261,Lamar Alexander,Carl Levin,27,40,1
A000360,L000304,Lamar Alexander,Joseph Lieberman,26,39,0
A000360,L000035,Lamar Alexander,Blanche Lincoln,27,39,1
A000360,L000504,Lamar Alexander,Richard Lugar,34,40,0
A000360,M001183,Lamar Alexander,Joe Manchin,1,1,0
A000360,M001162,Lamar Alexander,Mel Martinez,15,19,1
A000360,M000303,Lamar Alexander,John McCain,20,40,0
A000360,M001170,Lamar Alexander,Claire McCaskill,20,37,0
A000360,M000355,Lamar Alexander,Mitch McConnell,27,40,0
A000360,M000639,Lamar Alexander,Robert Menendez,25,38,2
A000360,M001176,Lamar Alexander,Jeff Merkley,27,40,1
A000360,M000702,Lamar Alexander,Barbara Mikulski,22,35,1
A000360,M001153,Lamar Alexander,Lisa Murkowski,33,39,0
A000360,M001111,Lamar Alexander,Patty Murray,25,38,1
A000360,N000180,Lamar Alexander,Ben Nelson,28,40,1
A000360,N000032,Lamar Alexander,Bill Nelson,27,39,1
A000360,P000590,Lamar Alexander,Mark Pryor,28,40,1
A000360,R000122,Lamar Alexander,Jack Reed,26,39,0
A000360,R000146,Lamar Alexander,Harry Reid,27,40,1
A000360,R000584,Lamar Alexander,Jim Risch,28,40,0
A000360,R000307,Lamar Alexander,Pat Roberts,28,40,0
A000360,R000361,Lamar Alexander,John Rockefeller,21,33,1
A000360,S001163,Lamar Alexander,Ken Salazar,1,1,0
A000360,S000033,Lamar Alexander,Bernard Sanders,24,39,1
A000360,S000148,Lamar Alexander,Charles Schumer,27,40,0
A000360,S001141,Lamar Alexander,Jeff Sessions,22,39,0
A000360,S001181,Lamar Alexander,Jeanne Shaheen,26,39,1
A000360,S000320,Lamar Alexander,Richard Shelby,30,40,0
A000360,S000663,Lamar Alexander,Olympia Snowe,30,40,0
