member_a_id,member_b_id,member_a_name,member_b_name,metric
B000711,S001141,Barbara Boxer,Jeff Sessions,1.0
H000338,S000148,Orrin Hatch,Charles Schumer,4.0
G000562,K000383,Cory Gardner,Angus King,1.0
F000463,S000320,Deb Fischer,Richard Shelby,1.0
S000320,T000250,Richard Shelby,John Thune,1.0
P000603,T000250,Rand Paul,John Thune,1.0
B001288,R000122,Cory Booker,Jack Reed,0.0
A000360,S001181,Lamar Alexander,Jeanne Shaheen,2.0
K000360,R000605,Mark Kirk,Mike Rounds,1.0
M001176,S000033,Jeff Merkley,Bernard Sanders,0.0
M000934,W000805,Jerry Moran,Mark Warner,2.0
B001267,V000127,Michael Bennet,David Vitter,1.0
B000575,L000575,Roy Blunt,James Lankford,2.0
K000367,T000461,Amy Klobuchar,Patrick Toomey,3.0
B001288,B000944,Cory Booker,Sherrod Brown,0.0
M000355,W000437,Mitch McConnell,Roger Wicker,1.0
E000295,F000062,Joni Ernst,Dianne Feinstein,1.0
A000360,D000618,Lamar Alexander,Steve Daines,3.0
C001075,G000555,Bill Cassidy,Kirsten Gillibrand,0.0
A000360,M001170,Lamar Alexander,Claire McCaskill,3.0
R000584,S000320,Jim Risch,Richard Shelby,1.0
P000603,R000584,Rand Paul,Jim Risch,1.0
C001095,N000032,Tom Cotton,Bill Nelson,0.0
C000141,D000618,Benjamin Cardin,Steve Daines,0.0
M000639,W000779,Robert Menendez,Ron Wyden,0.0
C000141,J000293,Benjamin Cardin,Ron Johnson,0.0
S000148,W000802,Charles Schumer,Sheldon Whitehouse,2.0
M000303,P000612,John McCain,David Perdue,3.0
C000880,S001181,Michael Crapo,Jeanne Shaheen,1.0
B000575,P000612,Roy Blunt,David Perdue,3.0
K000360,R000122,Mark Kirk,Jack Reed,0.0
H001042,R000605,Mazie Hirono,Mike Rounds,0.0
F000062,M001111,Dianne Feinstein,Patty Murray,3.0
B001230,S001181,Tammy Baldwin,Jeanne Shaheen,2.0
H001046,R000307,Martin Heinrich,Pat Roberts,0.0
C000567,V000127,Thad Cochran,David Vitter,2.0
B001288,H001041,Cory Booker,Dean Heller,1.0
C001056,K000384,John Cornyn,Tim Kaine,1.0
P000449,S000148,Rob Portman,Charles Schumer,2.0
M000639,S000320,Robert Menendez,Richard Shelby,0.0
H001061,M001169,John Hoeven,Christopher Murphy,0.0
M000639,P000603,Robert Menendez,Rand Paul,0.0
F000444,R000122,Jeff Flake,Jack Reed,0.0
C000141,M001170,Benjamin Cardin,Claire McCaskill,0.0
P000595,U000039,Gary Peters,Tom Udall,2.0
C000141,I000055,Benjamin Cardin,Johnny Isakson,0.0
S001181,T000464,Jeanne Shaheen,Jon Tester,1.0
B001267,M000303,Michael Bennet,John McCain,1.0
B001230,D000618,Tammy Baldwin,Steve Daines,1.0
C000880,I000055,Michael Crapo,Johnny Isakson,2.0
B000711,R000595,Barbara Boxer,Marco Rubio,1.0
C001047,K000383,Shelley Capito,Angus King,2.0
R000595,S000320,Marco Rubio,Richard Shelby,1.0
C000880,D000618,Michael Crapo,Steve Daines,3.0
F000062,M001169,Dianne Feinstein,Christopher Murphy,1.0
H000338,T000476,Orrin Hatch,Thom Tillis,3.0
K000367,R000605,Amy Klobuchar,Mike Rounds,0.0
K000367,U000039,Amy Klobuchar,Tom Udall,4.0
C000542,S000320,Daniel Coats,Richard Shelby,1.0
C000542,P000603,Daniel Coats,Rand Paul,1.0
B001267,M000702,Michael Bennet,Barbara Mikulski,0.0
B000944,K000360,Sherrod Brown,Mark Kirk,0.0
D000618,T000464,Steve Daines,Jon Tester,2.0
G000386,S000770,Charles Grassley,Debbie Stabenow,2.0
B001230,W000817,Tammy Baldwin,Elizabeth Warren,1.0
M001170,T000464,Claire McCaskill,Jon Tester,2.0
J000293,T000476,Ron Johnson,Thom Tillis,1.0
S000770,S001198,Debbie Stabenow,Dan Sullivan,2.0
C000141,S001181,Benjamin Cardin,Jeanne Shaheen,0.0
I000055,T000464,Johnny Isakson,Jon Tester,1.0
C000174,F000457,Thomas Carper,Al Franken,2.0
B001135,D000618,Richard Burr,Steve Daines,2.0
C001071,W000437,Bob Corker,Roger Wicker,1.0
B001277,G000555,Richard Blumenthal,Kirsten Gillibrand,3.0
C001098,L000577,Ted Cruz,Mike Lee,1.0
C001098,S000770,Ted Cruz,Debbie Stabenow,0.0
B001135,I000055,Richard Burr,Johnny Isakson,2.0
H001061,S001141,John Hoeven,Jeff Sessions,1.0
E000295,P000595,Joni Ernst,Gary Peters,1.0
B001135,M001170,Richard Burr,Claire McCaskill,2.0
C001047,R000307,Shelley Capito,Pat Roberts,3.0
F000463,L000577,Deb Fischer,Mike Lee,1.0
M000303,W000805,John McCain,Mark Warner,2.0
B001288,M000133,Cory Booker,Edward Markey,0.0
B001230,R000595,Tammy Baldwin,Marco Rubio,1.0
S000770,T000250,Debbie Stabenow,John Thune,0.0
L000577,T000250,Mike Lee,John Thune,2.0
F000463,S000770,Deb Fischer,Debbie Stabenow,1.0
C001075,S001194,Bill Cassidy,Brian Schatz,2.0
D000607,S001197,Joe Donnelly,Ben Sasse,1.0
L000174,N000032,Patrick Leahy,Bill Nelson,2.0
D000607,L000174,Joe Donnelly,Patrick Leahy,2.0
N000032,S001197,Bill Nelson,Ben Sasse,0.0
F000444,S001184,Jeff Flake,Tim Scott,1.0
B001135,S001181,Richard Burr,Jeanne Shaheen,1.0
G000555,M001153,Kirsten Gillibrand,Lisa Murkowski,2.0
C001088,H000338,Christopher Coons,Orrin Hatch,5.0
F000463,K000383,Deb Fischer,Angus King,1.0
M000303,W000802,John McCain,Sheldon Whitehouse,2.0
H001046,K000383,Martin Heinrich,Angus King,1.0
R000307,S001184,Pat Roberts,Tim Scott,1.0
R000605,W000779,Mike Rounds,Ron Wyden,0.0
C001035,S001141,Susan Collins,Jeff Sessions,2.0
R000584,S000770,Jim Risch,Debbie Stabenow,1.0
B000944,F000444,Sherrod Brown,Jeff Flake,0.0
L000577,R000584,Mike Lee,Jim Risch,1.0
C001088,J000293,Christopher Coons,Ron Johnson,1.0
D000563,R000605,Richard Durbin,Mike Rounds,0.0
C000567,M000934,Thad Cochran,Jerry Moran,2.0
C001095,M001153,Tom Cotton,Lisa Murkowski,2.0
G000562,S000770,Cory Gardner,Debbie Stabenow,1.0
B001267,C001075,Michael Bennet,Bill Cassidy,1.0
I000024,U000039,James Inhofe,Tom Udall,3.0
B001261,M001176,John Barrasso,Jeff Merkley,0.0
B001230,M001170,Tammy Baldwin,Claire McCaskill,2.0
E000285,K000383,Michael Enzi,Angus King,1.0
D000618,G000386,Steve Daines,Charles Grassley,4.0
M001170,M000934,Claire McCaskill,Jerry Moran,2.0
I000055,M000934,Johnny Isakson,Jerry Moran,2.0
H001046,R000595,Martin Heinrich,Marco Rubio,1.0
B001277,M000133,Richard Blumenthal,Edward Markey,1.0
B001288,W000817,Cory Booker,Elizabeth Warren,1.0
D000618,M000934,Steve Daines,Jerry Moran,2.0
B001267,B001277,Michael Bennet,Richard Blumenthal,1.0
C001075,P000612,Bill Cassidy,David Perdue,2.0
C001071,M001111,Bob Corker,Patty Murray,0.0
B001135,C000567,Richard Burr,Thad Cochran,2.0
C000174,M000303,Thomas Carper,John McCain,2.0
H001069,P000449,Heidi Heitkamp,Rob Portman,2.0
B000944,D000563,Sherrod Brown,Richard Durbin,0.0
R000307,S001198,Pat Roberts,Dan Sullivan,2.0
B000575,R000605,Roy Blunt,Mike Rounds,1.0
B001236,S000033,John Boozman,Bernard Sanders,1.0
R000146,W000817,Harry Reid,Elizabeth Warren,0.0
C001056,E000295,John Cornyn,Joni Ernst,1.0
A000360,W000802,Lamar Alexander,Sheldon Whitehouse,2.0
B001288,L000577,Cory Booker,Mike Lee,0.0
M000934,S001181,Jerry Moran,Jeanne Shaheen,1.0
B000711,R000307,Barbara Boxer,Pat Roberts,1.0
G000359,H001042,Lindsey Graham,Mazie Hirono,2.0
G000386,S001181,Charles Grassley,Jeanne Shaheen,3.0
C001098,K000384,Ted Cruz,Tim Kaine,0.0
G000359,P000449,Lindsey Graham,Rob Portman,4.0
G000562,S000148,Cory Gardner,Charles Schumer,0.0
B001277,P000612,Richard Blumenthal,David Perdue,2.0
B001267,B000575,Michael Bennet,Roy Blunt,1.0
B001230,C000567,Tammy Baldwin,Thad Cochran,1.0
G000359,R000146,Lindsey Graham,Harry Reid,0.0
G000555,W000437,Kirsten Gillibrand,Roger Wicker,1.0
L000577,W000779,Mike Lee,Ron Wyden,1.0
P000449,S001198,Rob Portman,Dan Sullivan,3.0
G000555,K000383,Kirsten Gillibrand,Angus King,1.0
S000770,W000779,Debbie Stabenow,Ron Wyden,0.0
B001236,C001075,John Boozman,Bill Cassidy,2.0
B000711,K000383,Barbara Boxer,Angus King,1.0
A000368,V000127,Kelly Ayotte,David Vitter,3.0
C001075,W000802,Bill Cassidy,Sheldon Whitehouse,1.0
M001170,T000476,Claire McCaskill,Thom Tillis,3.0
S001194,W000437,Brian Schatz,Roger Wicker,2.0
C000567,T000464,Thad Cochran,Jon Tester,1.0
C001095,W000437,Tom Cotton,Roger Wicker,1.0
G000359,M001183,Lindsey Graham,Joe Manchin,4.0
B001135,K000384,Richard Burr,Tim Kaine,1.0
C001070,M000639,Bob Casey,Robert Menendez,0.0
C000542,R000122,Daniel Coats,Jack Reed,0.0
K000384,W000817,Tim Kaine,Elizabeth Warren,1.0
R000595,S001184,Marco Rubio,Tim Scott,2.0
C000127,H001042,Maria Cantwell,Mazie Hirono,0.0
M000639,S000033,Robert Menendez,Bernard Sanders,1.0
F000463,R000605,Deb Fischer,Mike Rounds,1.0
G000359,W000802,Lindsey Graham,Sheldon Whitehouse,3.0
T000250,T000461,John Thune,Patrick Toomey,3.0
F000463,M001176,Deb Fischer,Jeff Merkley,0.0
H001041,L000174,Dean Heller,Patrick Leahy,1.0
K000360,S000320,Mark Kirk,Richard Shelby,1.0
C001071,M001153,Bob Corker,Lisa Murkowski,1.0
K000360,P000603,Mark Kirk,Rand Paul,1.0
D000618,V000127,Steve Daines,David Vitter,3.0
H001041,S001197,Dean Heller,Ben Sasse,1.0
B000944,C000542,Sherrod Brown,Daniel Coats,0.0
R000605,T000250,Mike Rounds,John Thune,1.0
K000384,P000595,Tim Kaine,Gary Peters,1.0
M000702,W000779,Barbara Mikulski,Ron Wyden,0.0
C000141,C000567,Benjamin Cardin,Thad Cochran,0.0
E000285,R000307,Michael Enzi,Pat Roberts,2.0
C001075,W000805,Bill Cassidy,Mark Warner,3.0
C001056,U000039,John Cornyn,Tom Udall,4.0
B000575,H001046,Roy Blunt,Martin Heinrich,1.0
M000639,R000122,Robert Menendez,Jack Reed,0.0
A000360,B001267,Lamar Alexander,Michael Bennet,1.0
M000303,S001181,John McCain,Jeanne Shaheen,1.0
G000562,H001041,Cory Gardner,Dean Heller,2.0
C001070,K000367,Bob Casey,Amy Klobuchar,3.0
C000542,R000605,Daniel Coats,Mike Rounds,1.0
B000944,T000250,Sherrod Brown,John Thune,0.0
C000880,H000338,Michael Crapo,Orrin Hatch,3.0
B001230,P000612,Tammy Baldwin,David Perdue,1.0
B001236,G000555,John Boozman,Kirsten Gillibrand,2.0
B000944,F000463,Sherrod Brown,Deb Fischer,0.0
