member_a_id,member_b_id,member_a_name,member_b_name,votes_same,bills_same,mutual_sponsorships
H001076,Y000064,Margaret Hassan,Todd Young,16,17,0
C000141,K000383,Benjamin Cardin,Angus King,15,17,1
J000300,S001202,Doug Jones,Luther Strange,0,0,0
F000444,R000595,Jeff Flake,Marco Rubio,12,14,1
B001261,R000584,John Barrasso,Jim Risch,16,17,0
H001075,W000779,Kamala Harris,Ron Wyden,13,17,1
E000285,H001061,Michael Enzi,John Hoeven,16,16,0
B001288,L000174,Cory Booker,Patrick Leahy,14,15,0
M001111,R000122,Patty Murray,Jack Reed,14,16,0
B001230,M000133,Tammy Baldwin,Edward Markey,15,17,0
C001113,W000437,Catherine Cortez Masto,Roger Wicker,14,16,0
C001098,M000133,Ted Cruz,Edward Markey,10,16,0
C001070,M000303,Bob Casey,John McCain,6,7,1
B001236,S001197,John Boozman,Ben Sasse,15,16,1
B001267,S001184,Michael Bennet,Tim Scott,16,17,2
C000174,R000584,Thomas Carper,Jim Risch,15,17,1
F000444,R000584,Jeff Flake,Jim Risch,14,15,1
G000562,K000393,Cory Gardner,John Kennedy,17,17,1
C001056,G000386,John Cornyn,Charles Grassley,16,16,1
L000577,S000320,Mike Lee,Richard Shelby,9,17,0
H001069,H001042,Heidi Heitkamp,Mazie Hirono,15,16,0
H001042,M000934,Mazie Hirono,Jerry Moran,13,15,0
M000639,S001203,Robert Menendez,Tina Smith,9,9,1
E000295,I000055,Joni Ernst,Johnny Isakson,14,14,0
C001098,M001183,Ted Cruz,Joe Manchin,13,16,1
A000360,I000055,Lamar Alexander,Johnny Isakson,12,12,0
M000133,S000033,Edward Markey,Bernard Sanders,11,17,0
B001277,S001203,Richard Blumenthal,Tina Smith,9,9,1
C001113,M001153,Catherine Cortez Masto,Lisa Murkowski,13,16,0
K000352,M000133,Jon Kyl,Edward Markey,2,2,0
F000062,L000174,Dianne Feinstein,Patrick Leahy,13,16,0
P000595,S001184,Gary Peters,Tim Scott,16,17,2
D000563,P000449,Richard Durbin,Rob Portman,13,17,0
K000352,S001194,Jon Kyl,Brian Schatz,2,2,0
M000639,T000476,Robert Menendez,Thom Tillis,13,16,1
F000463,M001111,Deb Fischer,Patty Murray,12,16,0
C000567,F000457,Thad Cochran,Al Franken,7,8,0
U000039,W000802,Tom Udall,Sheldon Whitehouse,16,17,0
M001183,M000639,Joe Manchin,Robert Menendez,15,16,1
G000562,R000307,Cory Gardner,Pat Roberts,17,17,1
C001047,I000024,Shelley Capito,James Inhofe,15,16,1
D000622,P000612,Tammy Duckworth,David Perdue,12,15,0
B001277,V000128,Richard Blumenthal,Chris Van Hollen,17,17,1
S000148,S000320,Charles Schumer,Richard Shelby,15,17,0
B001261,D000607,John Barrasso,Joe Donnelly,16,17,1
C000141,K000367,Benjamin Cardin,Amy Klobuchar,15,16,1
D000618,M000133,Steve Daines,Edward Markey,12,17,0
P000603,W000779,Rand Paul,Ron Wyden,6,17,0
E000295,W000817,Joni Ernst,Elizabeth Warren,12,17,0
P000449,S000770,Rob Portman,Debbie Stabenow,16,17,1
H001046,S000148,Martin Heinrich,Charles Schumer,16,16,0
B001261,N000032,John Barrasso,Bill Nelson,16,17,0
H001046,I000024,Martin Heinrich,James Inhofe,13,15,0
B001236,M001176,John Boozman,Jeff Merkley,12,16,0
C001070,L000577,Bob Casey,Mike Lee,7,17,1
B001277,S000320,Richard Blumenthal,Richard Shelby,13,17,0
I000055,L000174,Johnny Isakson,Patrick Leahy,9,13,0
D000618,P000612,Steve Daines,David Perdue,17,17,1
B001135,M001153,Richard Burr,Lisa Murkowski,14,16,1
M001111,R000584,Patty Murray,Jim Risch,12,16,0
H000338,S000770,Orrin Hatch,Debbie Stabenow,16,17,1
D000563,H000338,Richard Durbin,Orrin Hatch,13,17,0
D000618,K000383,Steve Daines,Angus King,16,17,1
M001170,S001181,Claire McCaskill,Jeanne Shaheen,16,16,0
G000359,G000386,Lindsey Graham,Charles Grassley,15,15,0
E000295,F000062,Joni Ernst,Dianne Feinstein,14,17,0
M000639,V000128,Robert Menendez,Chris Van Hollen,15,16,1
B001261,C001075,John Barrasso,Bill Cassidy,16,16,1
M001170,M001153,Claire McCaskill,Lisa Murkowski,15,17,2
G000555,M001183,Kirsten Gillibrand,Joe Manchin,12,17,0
C001088,W000779,Christopher Coons,Ron Wyden,11,17,1
R000584,R000605,Jim Risch,Mike Rounds,16,17,2
J000293,Y000064,Ron Johnson,Todd Young,15,17,0
C000174,U000039,Thomas Carper,Tom Udall,15,17,0
A000360,F000062,Lamar Alexander,Dianne Feinstein,12,15,1
F000463,L000577,Deb Fischer,Mike Lee,9,16,1
J000293,J000300,Ron Johnson,Doug Jones,7,9,0
S000148,U000039,Charles Schumer,Tom Udall,16,17,0
G000386,K000393,Charles Grassley,John Kennedy,17,17,2
H001061,J000293,John Hoeven,Ron Johnson,14,16,0
C001056,G000562,John Cornyn,Cory Gardner,16,16,1
M000639,P000603,Robert Menendez,Rand Paul,4,16,0
T000464,W000805,Jon Tester,Mark Warner,16,17,2
B001135,W000437,Richard Burr,Roger Wicker,15,16,1
H001076,H001079,Margaret Hassan,Cindy Hyde-Smith,7,7,0
K000352,P000612,Jon Kyl,David Perdue,2,2,0
F000457,S000770,Al Franken,Debbie Stabenow,8,8,0
C001047,W000817,Shelley Capito,Elizabeth Warren,12,17,0
H001075,H001041,Kamala Harris,Dean Heller,13,17,1
