member_a_id,member_b_id,member_a_name,member_b_name,metric
D000432,G000555,Byron Dorgan,Kirsten Gillibrand,0.9736842105263158
G000445,U000039,Judd Gregg,Tom Udall,0.5263157894736842
M000702,M001153,Barbara Mikulski,Lisa Murkowski,0.7428571428571429
A000069,U000039,Daniel Akaka,Tom Udall,0.9743589743589743
I000024,S000320,James Inhofe,Richard Shelby,0.6923076923076923
L000572,M001170,George LeMieux,Claire McCaskill,0.47058823529411764
L000261,W000805,Carl Levin,Mark Warner,0.95
A000069,K000367,Daniel Akaka,Amy Klobuchar,0.975
C000286,T000250,Saxby Chambliss,John Thune,0.775
C000880,L000550,Michael Crapo,Mary Landrieu,0.5
F000061,W000437,Russ Feingold,Roger Wicker,0.575
B001266,R000122,Roland Burris,Jack Reed,0.9736842105263158
B001066,D000595,Jim Bunning,Jim DeMint,0.8378378378378378
C000141,H000338,Benjamin Cardin,Orrin Hatch,0.525
D000595,M000303,Jim DeMint,John McCain,0.825
B001267,B000944,Michael Bennet,Sherrod Brown,0.95
B001265,W000803,Mark Begich,Jim Webb,0.975
C001070,V000127,Bob Casey,David Vitter,0.5128205128205128
B000711,D000595,Barbara Boxer,Jim DeMint,0.15
K000374,S000709,Paul Kirk,Arlen Specter,0.875
B001266,T000464,Roland Burris,Jon Tester,0.9736842105263158
B000444,M000639,Joseph Biden,Robert Menendez,0.0
B000953,U000038,Sam Brownback,Mark Udall,0.5
I000055,N000032,Johnny Isakson,Bill Nelson,0.43243243243243246
C000880,D000432,Michael Crapo,Byron Dorgan,0.475
C000705,M001170,Kent Conrad,Claire McCaskill,0.868421052631579
G000386,M001162,Charles Grassley,Mel Martinez,0.75
B001267,S000709,Michael Bennet,Arlen Specter,0.9487179487179487
M000355,S000033,Mitch McConnell,Bernard Sanders,0.325
C000127,R000307,Maria Cantwell,Pat Roberts,0.4878048780487805
B000944,K000374,Sherrod Brown,Paul Kirk,0.875
E000285,K000373,Michael Enzi,Edward Kaufman,0.38461538461538464
R000584,V000126,Jim Risch,George Voinovich,0.6341463414634146
B000611,V000126,Christopher Bond,George Voinovich,0.8378378378378378
B000953,C000567,Sam Brownback,Thad Cochran,0.7692307692307693
B000611,D000563,Christopher Bond,Richard Durbin,0.7027027027027027
I000055,L000123,Johnny Isakson,Frank Lautenberg,0.3888888888888889
S000770,V000126,Debbie Stabenow,George Voinovich,0.8048780487804879
C000880,N000180,Michael Crapo,Ben Nelson,0.5365853658536586
C000127,S001163,Maria Cantwell,Ken Salazar,0.5
M001170,S001141,Claire McCaskill,Jeff Sessions,0.40540540540540543
H001016,M001111,Kay Hutchison,Patty Murray,0.5675675675675675
M000639,S001181,Robert Menendez,Jeanne Shaheen,0.9736842105263158
C001088,M001162,Christopher Coons,Mel Martinez,0.0
C000141,W000805,Benjamin Cardin,Mark Warner,0.95
M000303,V000127,John McCain,David Vitter,0.6923076923076923
C001070,D000595,Bob Casey,Jim DeMint,0.15
B000711,V000127,Barbara Boxer,David Vitter,0.5128205128205128
H001049,L000035,Kay Hagan,Blanche Lincoln,0.9230769230769231
J000177,L000123,Tim Johnson,Frank Lautenberg,0.9473684210526315
L000304,M000355,Joseph Lieberman,Mitch McConnell,0.375
B001066,F000061,Jim Bunning,Russ Feingold,0.3157894736842105
K000148,P000590,John Kerry,Mark Pryor,0.9512195121951219
B001210,H001016,Robert Byrd,Kay Hutchison,0.5263157894736842
C000127,W000437,Maria Cantwell,Roger Wicker,0.6
L000261,S000709,Carl Levin,Arlen Specter,0.975
K000148,K000305,John Kerry,Herb Kohl,0.975609756097561
J000177,R000361,Tim Johnson,John Rockefeller,0.9705882352941176
G000555,N000180,Kirsten Gillibrand,Ben Nelson,0.8974358974358975
C000174,D000595,Thomas Carper,Jim DeMint,0.1282051282051282
C001035,V000127,Susan Collins,David Vitter,0.5897435897435898
D000595,W000779,Jim DeMint,Ron Wyden,0.175
C000127,H001016,Maria Cantwell,Kay Hutchison,0.6153846153846154
B001233,D000595,Evan Bayh,Jim DeMint,0.3076923076923077
G000359,S000320,Lindsey Graham,Richard Shelby,0.7804878048780488
B001233,K000352,Evan Bayh,Jon Kyl,0.4
R000307,S000709,Pat Roberts,Arlen Specter,0.475
B001210,I000024,Robert Byrd,James Inhofe,0.2
B001268,M001162,Scott Brown,Mel Martinez,0.0
B001066,D000563,Jim Bunning,Richard Durbin,0.3157894736842105
C000567,C001071,Thad Cochran,Bob Corker,0.6829268292682927
B001135,C001070,Richard Burr,Bob Casey,0.34146341463414637
L000174,U000038,Patrick Leahy,Mark Udall,0.9230769230769231
B001261,C001088,John Barrasso,Christopher Coons,0.0
M000355,W000805,Mitch McConnell,Mark Warner,0.425
C000567,S001141,Thad Cochran,Jeff Sessions,0.65
C001056,L000550,John Cornyn,Mary Landrieu,0.42105263157894735
L000035,S001163,Blanche Lincoln,Ken Salazar,0.5
S001181,U000039,Jeanne Shaheen,Tom Udall,0.9736842105263158
C001088,P000590,Christopher Coons,Mark Pryor,0.5
B000243,C000880,Max Baucus,Michael Crapo,0.475
C000141,S000033,Benjamin Cardin,Bernard Sanders,0.925
B000953,M001170,Sam Brownback,Claire McCaskill,0.4166666666666667
B001268,W000805,Scott Brown,Mark Warner,0.5
K000367,W000803,Amy Klobuchar,Jim Webb,0.975
B001266,E000285,Roland Burris,Michael Enzi,0.3684210526315789
C000705,U000038,Kent Conrad,Mark Udall,0.975
B000611,J000291,Christopher Bond,Mike Johanns,0.7837837837837838
C001056,D000432,John Cornyn,Byron Dorgan,0.4
C000127,H001049,Maria Cantwell,Kay Hagan,0.925
G000359,K000352,Lindsey Graham,Jon Kyl,0.8048780487804879
B001267,N000032,Michael Bennet,Bill Nelson,0.9487179487179487
K000105,M001111,Edward Kennedy,Patty Murray,0.6666666666666666
H001016,M001153,Kay Hutchison,Lisa Murkowski,0.8421052631578947
B001261,B001268,John Barrasso,Scott Brown,0.5454545454545454
K000305,W000803,Herb Kohl,Jim Webb,0.975609756097561
N000032,R000307,Bill Nelson,Pat Roberts,0.475
C000560,H000206,Tom Coburn,Tom Harkin,0.14634146341463414
B000468,J000291,Jeff Bingaman,Mike Johanns,0.5609756097560976
B001135,W000779,Richard Burr,Ron Wyden,0.36585365853658536
P000590,W000803,Mark Pryor,Jim Webb,0.9512195121951219
B001135,H000338,Richard Burr,Orrin Hatch,0.725
F000062,W000803,Dianne Feinstein,Jim Webb,0.975
K000374,R000361,Paul Kirk,John Rockefeller,0.875
C000286,G000445,Saxby Chambliss,Judd Gregg,0.6410256410256411
G000561,N000180,Carte Goodwin,Ben Nelson,0.6666666666666666
S001141,W000437,Jeff Sessions,Roger Wicker,0.717948717948718
L000261,N000032,Carl Levin,Bill Nelson,0.975
B001135,C000174,Richard Burr,Thomas Carper,0.325
M001183,U000038,Joe Manchin,Mark Udall,0.5
C001070,R000122,Bob Casey,Jack Reed,0.975
D000432,G000561,Byron Dorgan,Carte Goodwin,0.6666666666666666
B001135,C001035,Richard Burr,Susan Collins,0.43902439024390244
F000457,M000355,Al Franken,Mitch McConnell,0.37037037037037035
L000123,L000261,Frank Lautenberg,Carl Levin,0.9743589743589743
E000194,W000803,John Ensign,Jim Webb,0.275
C000567,M001183,Thad Cochran,Joe Manchin,0.0
M001111,R000584,Patty Murray,Jim Risch,0.46153846153846156
I000024,K000352,James Inhofe,Jon Kyl,0.8974358974358975
D000563,W000437,Richard Durbin,Roger Wicker,0.575
A000360,U000039,Lamar Alexander,Tom Udall,0.6410256410256411
G000561,L000550,Carte Goodwin,Mary Landrieu,0.6666666666666666
D000388,M000355,Christopher Dodd,Mitch McConnell,0.375
C000286,K000360,Saxby Chambliss,Mark Kirk,0.0
B001266,F000062,Roland Burris,Dianne Feinstein,0.972972972972973
L000123,R000307,Frank Lautenberg,Pat Roberts,0.4358974358974359
B000711,L000304,Barbara Boxer,Joseph Lieberman,0.975
B001267,R000361,Michael Bennet,John Rockefeller,0.9393939393939394
L000035,L000504,Blanche Lincoln,Richard Lugar,0.725
V000127,W000437,David Vitter,Roger Wicker,0.7105263157894737
B001261,G000386,John Barrasso,Charles Grassley,0.6829268292682927
G000359,M001111,Lindsey Graham,Patty Murray,0.358974358974359
C000567,C000705,Thad Cochran,Kent Conrad,0.6341463414634146
